ID;RegioS;Naam_2;SorteringNaam_3;Naam_29;ID;Gemeente;Provincie;Officiële Website (Publieksdienstverlening)
162;GM0995;Lelystad                                          ;Lelystad                                          ;Flevoland                                         ;162;Lelystad;Flevoland;https://www.lelystad.nl
163;GM1640;Leudal                                            ;Leudal                                            ;Limburg                                           ;163;Leudal;Limburg;https://www.leudal.nl
164;GM0327;Leusden                                           ;Leusden                                           ;Utrecht                                           ;164;Leusden;Utrecht;https://www.leusden.nl
165;GM1705;Lingewaard                                        ;Lingewaard                                        ;Gelderland                                        ;165;Lingewaard;Gelderland;https://www.lingewaard.nl
166;GM0553;Lisse                                             ;Lisse                                             ;Zuid-Holland                                      ;166;Lisse;Zuid-Holland;https://www.lisse.nl
167;GM0262;Lochem                                            ;Lochem                                            ;Gelderland                                        ;167;Lochem;Gelderland;https://www.lochem.nl
168;GM0809;Loon op Zand                                      ;Loon op Zand                                      ;Noord-Brabant                                     ;168;Loon op Zand;Noord-Brabant;https://www.loonopzand.nl
169;GM0331;Lopik                                             ;Lopik                                             ;Utrecht                                           ;169;Lopik;Utrecht;https://www.lopik.nl
170;GM0168;Losser                                            ;Losser                                            ;Overijssel                                        ;170;Losser;Overijssel;https://www.losser.nl
171;GM0263;Maasdriel                                         ;Maasdriel                                         ;Gelderland                                        ;171;Maasdriel;Gelderland;https://www.maasdriel.nl
172;GM1641;Maasgouw                                          ;Maasgouw                                          ;Limburg                                           ;172;Maasgouw;Limburg;https://www.gemeentemaasgouw.nl
173;GM1991;Maashorst                                         ;Maashorst                                         ;Noord-Brabant                                     ;173;Maashorst;Noord-Brabant;https://www.gemeentemaashorst.nl
174;GM0556;Maassluis                                         ;Maassluis                                         ;Zuid-Holland                                      ;174;Maassluis;Zuid-Holland;https://www.maassluis.nl
175;GM0935;Maastricht                                        ;Maastricht                                        ;Limburg                                           ;175;Maastricht;Limburg;https://www.gemeentemaastricht.nl
176;GM0420;Medemblik                                         ;Medemblik                                         ;Noord-Holland                                     ;176;Medemblik;Noord-Holland;https://www.medemblik.nl
177;GM0938;Meerssen                                          ;Meerssen                                          ;Limburg                                           ;177;Meerssen;Limburg;https://www.meerssen.nl
178;GM1948;Meierijstad                                       ;Meierijstad                                       ;Noord-Brabant                                     ;178;Meierijstad;Noord-Brabant;https://www.meierijstad.nl
179;GM0119;Meppel                                            ;Meppel                                            ;Drenthe                                           ;179;Meppel;Drenthe;https://www.meppel.nl
180;GM0687;Middelburg (Z.)                                   ;Middelburg (Z.)                                   ;Zeeland                                           ;180;Middelburg (Z.);Zeeland;https://www.middelburg.nl
181;GM1842;Midden-Delfland                                   ;Midden+Delfland                                   ;Zuid-Holland                                      ;181;Midden-Delfland;Zuid-Holland;https://www.middendelfland.nl
182;GM1731;Midden-Drenthe                                    ;Midden+Drenthe                                    ;Drenthe                                           ;182;Midden-Drenthe;Drenthe;https://www.middendrenthe.nl
183;GM1952;Midden-Groningen                                  ;Midden+Groningen                                  ;Groningen                                         ;183;Midden-Groningen;Groningen;https://www.midden-groningen.nl
184;GM1709;Moerdijk                                          ;Moerdijk                                          ;Noord-Brabant                                     ;184;Moerdijk;Noord-Brabant;https://www.moerdijk.nl
185;GM1978;Molenlanden                                       ;Molenlanden                                       ;Zuid-Holland                                      ;185;Molenlanden;Zuid-Holland;https://www.molenlanden.nl
186;GM1955;Montferland                                       ;Montferland                                       ;Gelderland                                        ;186;Montferland;Gelderland;https://www.montferland.info
187;GM0335;Montfoort                                         ;Montfoort                                         ;Utrecht                                           ;187;Montfoort;Utrecht;https://www.montfoort.nl
188;GM0944;Mook en Middelaar                                 ;Mook en Middelaar                                 ;Limburg                                           ;188;Mook en Middelaar;Limburg;https://www.mookenmiddelaar.nl
189;GM1740;Neder-Betuwe                                      ;Neder+Betuwe                                      ;Gelderland                                        ;189;Neder-Betuwe;Gelderland;https://www.nederbetuwe.nl
190;GM0946;Nederweert                                        ;Nederweert                                        ;Limburg                                           ;190;Nederweert;Limburg;https://www.nederweert.nl
191;GM0356;Nieuwegein                                        ;Nieuwegein                                        ;Utrecht                                           ;191;Nieuwegein;Utrecht;https://www.nieuwegein.nl
192;GM0569;Nieuwkoop                                         ;Nieuwkoop                                         ;Zuid-Holland                                      ;192;Nieuwkoop;Zuid-Holland;https://www.nieuwkoop.nl
193;GM0267;Nijkerk                                           ;Nijkerk                                           ;Gelderland                                        ;193;Nijkerk;Gelderland;https://www.nijkerk.eu
194;GM0268;Nijmegen                                          ;Nijmegen                                          ;Gelderland                                        ;194;Nijmegen;Gelderland;https://www.nijmegen.nl
