"ID";"RegioS";"Naam_2";"SorteringNaam_3";"Naam_29"
"241";"GM1674    ";"Roosendaal                                        ";"Roosendaal                                        ";"Noord-Brabant                                     "
"242";"GM0599    ";"Rotterdam                                         ";"Rotterdam                                         ";"Zuid-Holland                                      "
"243";"GM0277    ";"Rozendaal                                         ";"Rozendaal                                         ";"Gelderland                                        "
"244";"GM0840    ";"Rucphen                                           ";"Rucphen                                           ";"Noord-Brabant                                     "
"245";"GM0441    ";"Schagen                                           ";"Schagen                                           ";"Noord-Holland                                     "
"246";"GM0279    ";"Scherpenzeel                                      ";"Scherpenzeel                                      ";"Gelderland                                        "
"247";"GM0606    ";"Schiedam                                          ";"Schiedam                                          ";"Zuid-Holland                                      "
"248";"GM0088    ";"Schiermonnikoog                                   ";"Schiermonnikoog                                   ";"Fryslân                                           "
"249";"GM1676    ";"Schouwen-Duiveland                                ";"Schouwen+Duiveland                                ";"Zeeland                                           "
"250";"GM0965    ";"Simpelveld                                        ";"Simpelveld                                        ";"Limburg                                           "
"251";"GM0845    ";"Sint-Michielsgestel                               ";"Sint+Michielsgestel                               ";"Noord-Brabant                                     "
"252";"GM1883    ";"Sittard-Geleen                                    ";"Sittard+Geleen                                    ";"Limburg                                           "
"253";"GM0610    ";"Sliedrecht                                        ";"Sliedrecht                                        ";"Zuid-Holland                                      "
"254";"GM1714    ";"Sluis                                             ";"Sluis                                             ";"Zeeland                                           "
"255";"GM0090    ";"Smallingerland                                    ";"Smallingerland                                    ";"Fryslân                                           "
"256";"GM0342    ";"Soest                                             ";"Soest                                             ";"Utrecht                                           "
"257";"GM0847    ";"Someren                                           ";"Someren                                           ";"Noord-Brabant                                     "
"258";"GM0848    ";"Son en Breugel                                    ";"Son en Breugel                                    ";"Noord-Brabant                                     "
"259";"GM0037    ";"Stadskanaal                                       ";"Stadskanaal                                       ";"Groningen                                         "
"260";"GM0180    ";"Staphorst                                         ";"Staphorst                                         ";"Overijssel                                        "
"261";"GM0532    ";"Stede Broec                                       ";"Stede Broec                                       ";"Noord-Holland                                     "
"262";"GM0851    ";"Steenbergen                                       ";"Steenbergen                                       ";"Noord-Brabant                                     "
"263";"GM1708    ";"Steenwijkerland                                   ";"Steenwijkerland                                   ";"Overijssel                                        "
"264";"GM0971    ";"Stein (L.)                                        ";"Stein (L.)                                        ";"Limburg                                           "
"265";"GM1904    ";"Stichtse Vecht                                    ";"Stichtse Vecht                                    ";"Utrecht                                           "
"266";"GM1900    ";"Súdwest-Fryslân                                   ";"Sudwest+Fryslan                                   ";"Fryslân                                           "
"267";"GM0715    ";"Terneuzen                                         ";"Terneuzen                                         ";"Zeeland                                           "
"268";"GM0093    ";"Terschelling                                      ";"Terschelling                                      ";"Fryslân                                           "
"269";"GM0448    ";"Texel                                             ";"Texel                                             ";"Noord-Holland                                     "
"270";"GM1525    ";"Teylingen                                         ";"Teylingen                                         ";"Zuid-Holland                                      "
"271";"GM0716    ";"Tholen                                            ";"Tholen                                            ";"Zeeland                                           "
"272";"GM0281    ";"Tiel                                              ";"Tiel                                              ";"Gelderland                                        "
"273";"GM0855    ";"Tilburg                                           ";"Tilburg                                           ";"Noord-Brabant                                     "
"274";"GM0183    ";"Tubbergen                                         ";"Tubbergen                                         ";"Overijssel                                        "
"275";"GM1700    ";"Twenterand                                        ";"Twenterand                                        ";"Overijssel                                        "
"276";"GM1730    ";"Tynaarlo                                          ";"Tynaarlo                                          ";"Drenthe                                           "
"277";"GM0737    ";"Tytsjerksteradiel                                 ";"Tytsjerksteradiel                                 ";"Fryslân                                           "
"278";"GM0450    ";"Uitgeest                                          ";"Uitgeest                                          ";"Noord-Holland                                     "
"279";"GM0451    ";"Uithoorn                                          ";"Uithoorn                                          ";"Noord-Holland                                     "
"280";"GM0184    ";"Urk                                               ";"Urk                                               ";"Flevoland                                         "
"281";"GM0344    ";"Utrecht                                           ";"Utrecht                                           ";"Utrecht                                           "
"282";"GM1581    ";"Utrechtse Heuvelrug                               ";"Utrechtse Heuvelrug                               ";"Utrecht                                           "
"283";"GM0981    ";"Vaals                                             ";"Vaals                                             ";"Limburg                                           "
"284";"GM0994    ";"Valkenburg aan de Geul                            ";"Valkenburg aan de Geul                            ";"Limburg                                           "
"285";"GM0858    ";"Valkenswaard                                      ";"Valkenswaard                                      ";"Noord-Brabant                                     "
"286";"GM0047    ";"Veendam                                           ";"Veendam                                           ";"Groningen                                         "
"287";"GM0345    ";"Veenendaal                                        ";"Veenendaal                                        ";"Utrecht                                           "
"288";"GM0717    ";"Veere                                             ";"Veere                                             ";"Zeeland                                           "
"289";"GM0861    ";"Veldhoven                                         ";"Veldhoven                                         ";"Noord-Brabant                                     "
